revs,Preprocessed_Text,Sentiment_Scores
"I've signed a new broadband plan and ordered a router on 1 April. The router was sent and delivered to the wrong address on 19 April and even though I've contacted the customer service multiple times, it's been almost a month and I am still without a router. Had to get extra cellular data because I didn't have a broadband. I planning on cancelling my contract at this point.","['i', ""'ve"", 'signed', 'a', 'new', 'broadband', 'plan', 'and', 'ordered', 'a', 'router', 'on', '1', 'april', '.', 'the', 'router', 'was', 'sent', 'and', 'delivered', 'to', 'the', 'wrong', 'address', 'on', '19', 'april', 'and', 'even', 'though', 'i', ""'ve"", 'contacted', 'the', 'customer', 'service', 'multiple', 'times', ',', 'it', ""'s"", 'been', 'almost', 'a', 'month', 'and', 'i', 'am', 'still', 'without', 'a', 'router', '.', 'had', 'to', 'get', 'extra', 'cellular', 'data', 'because', 'i', 'did', ""n't"", 'have', 'a', 'broadband', '.', 'i', 'planning', 'on', 'cancelling', 'my', 'contract', 'at', 'this', 'point', '.']","{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.5994}"
Just spoke to a rep on vodaphone Due to the current situation and becoming a pensioner I have asked vodaphone to help me with my contract.I am struggling to even eat at this time I don't get benefits just a state pension. You would think that a company that has made so much money this year could help someone in my position. Tried to contact  the team you stated after 3 attempts the person I chatted with did not know what trust pilot was !,"['just', 'spoke', 'to', 'a', 'rep', 'on', 'vodaphone', 'due', 'to', 'the', 'current', 'situation', 'and', 'becoming', 'a', 'pensioner', 'i', 'have', 'asked', 'vodaphone', 'to', 'help', 'me', 'with', 'my', 'contract.i', 'am', 'struggling', 'to', 'even', 'eat', 'at', 'this', 'time', 'i', 'do', ""n't"", 'get', 'benefits', 'just', 'a', 'state', 'pension', '.', 'you', 'would', 'think', 'that', 'a', 'company', 'that', 'has', 'made', 'so', 'much', 'money', 'this', 'year', 'could', 'help', 'someone', 'in', 'my', 'position', '.', 'tried', 'to', 'contact', 'the', 'team', 'you', 'stated', 'after', '3', 'attempts', 'the', 'person', 'i', 'chatted', 'with', 'did', 'not', 'know', 'what', 'trust', 'pilot', 'was', '!']","{'neg': 0.093, 'neu': 0.843, 'pos': 0.063, 'compound': -0.3773}"
Tried to upgrade but it is now impossible to actually speak to someone . You call and tell an automated system what your issue is then put into a chat room . 36 people waiting before me . Then you eventually start chatting and it takes forever to get anywhere . I now want tocancel my contract and again can’t speak to anyone . Appalling service anyone,"['tried', 'to', 'upgrade', 'but', 'it', 'is', 'now', 'impossible', 'to', 'actually', 'speak', 'to', 'someone', '.', 'you', 'call', 'and', 'tell', 'an', 'automated', 'system', 'what', 'your', 'issue', 'is', 'then', 'put', 'into', 'a', 'chat', 'room', '.', '36', 'people', 'waiting', 'before', 'me', '.', 'then', 'you', 'eventually', 'start', 'chatting', 'and', 'it', 'takes', 'forever', 'to', 'get', 'anywhere', '.', 'i', 'now', 'want', 'tocancel', 'my', 'contract', 'and', 'again', 'can', '’', 't', 'speak', 'to', 'anyone', '.', 'appalling', 'service', 'anyone']","{'neg': 0.052, 'neu': 0.925, 'pos': 0.023, 'compound': -0.4215}"
"Vodafone are the most incompetent, unprofessional organisation I have ever had the displeasure of dealing with. They don't read chat messages, ask the same questions repeatedly, pass you on to the wrong team. Don't call back to complete opening of a business account, despite having ALL the information. I spent over 75 minutes on a chat with them on Monday and am more than an hour in today and still do not have an account open. Absolutely shocking.","['vodafone', 'are', 'the', 'most', 'incompetent', ',', 'unprofessional', 'organisation', 'i', 'have', 'ever', 'had', 'the', 'displeasure', 'of', 'dealing', 'with', '.', 'they', 'do', ""n't"", 'read', 'chat', 'messages', ',', 'ask', 'the', 'same', 'questions', 'repeatedly', ',', 'pass', 'you', 'on', 'to', 'the', 'wrong', 'team', '.', 'do', ""n't"", 'call', 'back', 'to', 'complete', 'opening', 'of', 'a', 'business', 'account', ',', 'despite', 'having', 'all', 'the', 'information', '.', 'i', 'spent', 'over', '75', 'minutes', 'on', 'a', 'chat', 'with', 'them', 'on', 'monday', 'and', 'am', 'more', 'than', 'an', 'hour', 'in', 'today', 'and', 'still', 'do', 'not', 'have', 'an', 'account', 'open', '.', 'absolutely', 'shocking', '.']","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.9196}"
"I cancelled my direct debit, because I cancelled my broadband and you still charged me then would not refund me, leaving me with out money. Then you did it again months later,when I paid my bill at the bank , took another payment. Refusing to refund me. Stop helping your self to what money I do get. You lie and are  a shocking company","['i', 'cancelled', 'my', 'direct', 'debit', ',', 'because', 'i', 'cancelled', 'my', 'broadband', 'and', 'you', 'still', 'charged', 'me', 'then', 'would', 'not', 'refund', 'me', ',', 'leaving', 'me', 'with', 'out', 'money', '.', 'then', 'you', 'did', 'it', 'again', 'months', 'later', ',', 'when', 'i', 'paid', 'my', 'bill', 'at', 'the', 'bank', ',', 'took', 'another', 'payment', '.', 'refusing', 'to', 'refund', 'me', '.', 'stop', 'helping', 'your', 'self', 'to', 'what', 'money', 'i', 'do', 'get', '.', 'you', 'lie', 'and', 'are', 'a', 'shocking', 'company']","{'neg': 0.198, 'neu': 0.769, 'pos': 0.033, 'compound': -0.8481}"
"Lila was an amazing glamorous sales assistant, lovely personality, very helpful, couldn't do enough for me, she went through everything in detail for me & advised me on which phone was the best one for me, very efficient, a lovely person all round, i've been with Vodafone for about 20 years now & i would definitely recommend them.","['lila', 'was', 'an', 'amazing', 'glamorous', 'sales', 'assistant', ',', 'lovely', 'personality', ',', 'very', 'helpful', ',', 'could', ""n't"", 'do', 'enough', 'for', 'me', ',', 'she', 'went', 'through', 'everything', 'in', 'detail', 'for', 'me', '&', 'advised', 'me', 'on', 'which', 'phone', 'was', 'the', 'best', 'one', 'for', 'me', ',', 'very', 'efficient', ',', 'a', 'lovely', 'person', 'all', 'round', ',', 'i', ""'ve"", 'been', 'with', 'vodafone', 'for', 'about', '20', 'years', 'now', '&', 'i', 'would', 'definitely', 'recommend', 'them', '.']","{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.9838}"
Poor poor poor been with these over 15 years but that means nothing Tried. To upgrade but price way above other online company's Time to leave greedy vodafoneTried to cancel but nobody answers they sent you to automatic service I'm number 41 in queue how ridiculous this company want top money for terrible service definitely leaving you should do sameQuick update impossible to cancel contract you have to just cancel your direct debit disgraceful company same as virgin media,"['poor', 'poor', 'poor', 'been', 'with', 'these', 'over', '15', 'years', 'but', 'that', 'means', 'nothing', 'tried', '.', 'to', 'upgrade', 'but', 'price', 'way', 'above', 'other', 'online', 'company', ""'s"", 'time', 'to', 'leave', 'greedy', 'vodafonetried', 'to', 'cancel', 'but', 'nobody', 'answers', 'they', 'sent', 'you', 'to', 'automatic', 'service', 'i', ""'m"", 'number', '41', 'in', 'queue', 'how', 'ridiculous', 'this', 'company', 'want', 'top', 'money', 'for', 'terrible', 'service', 'definitely', 'leaving', 'you', 'should', 'do', 'samequick', 'update', 'impossible', 'to', 'cancel', 'contract', 'you', 'have', 'to', 'just', 'cancel', 'your', 'direct', 'debit', 'disgraceful', 'company', 'same', 'as', 'virgin', 'media']","{'neg': 0.253, 'neu': 0.66, 'pos': 0.087, 'compound': -0.9398}"
"Very poor listening and communication skills, Issue has not been resolved. I have been robbed, not been able to connect to internet on and off for 4 months with my two numbers. Now I have been restricted not been able to use phone calls texts or internet on my home broadband what I have paid for because of a £28 bill for mobile broadband which I do not owe as I am meant to get £350 credit for very poor internet service which hasn’t been applied. I have now been cut off  Bully's","['very', 'poor', 'listening', 'and', 'communication', 'skills', ',', 'issue', 'has', 'not', 'been', 'resolved', '.', 'i', 'have', 'been', 'robbed', ',', 'not', 'been', 'able', 'to', 'connect', 'to', 'internet', 'on', 'and', 'off', 'for', '4', 'months', 'with', 'my', 'two', 'numbers', '.', 'now', 'i', 'have', 'been', 'restricted', 'not', 'been', 'able', 'to', 'use', 'phone', 'calls', 'texts', 'or', 'internet', 'on', 'my', 'home', 'broadband', 'what', 'i', 'have', 'paid', 'for', 'because', 'of', 'a', '£28', 'bill', 'for', 'mobile', 'broadband', 'which', 'i', 'do', 'not', 'owe', 'as', 'i', 'am', 'meant', 'to', 'get', '£350', 'credit', 'for', 'very', 'poor', 'internet', 'service', 'which', 'hasn', '’', 't', 'been', 'applied', '.', 'i', 'have', 'now', 'been', 'cut', 'off', 'bully', ""'s""]","{'neg': 0.166, 'neu': 0.808, 'pos': 0.027, 'compound': -0.9119}"
Dreadful customer service. Been waiting more than 6 weeks for them to respond to my complaint. I only asked them to relocate my contact to my new address but they upgraded me instead to a contact that was more than double the original price. They also sent the router to my old address. Do not use this company,"['dreadful', 'customer', 'service', '.', 'been', 'waiting', 'more', 'than', '6', 'weeks', 'for', 'them', 'to', 'respond', 'to', 'my', 'complaint', '.', 'i', 'only', 'asked', 'them', 'to', 'relocate', 'my', 'contact', 'to', 'my', 'new', 'address', 'but', 'they', 'upgraded', 'me', 'instead', 'to', 'a', 'contact', 'that', 'was', 'more', 'than', 'double', 'the', 'original', 'price', '.', 'they', 'also', 'sent', 'the', 'router', 'to', 'my', 'old', 'address', '.', 'do', 'not', 'use', 'this', 'company']","{'neg': 0.061, 'neu': 0.889, 'pos': 0.05, 'compound': 0.1027}"
"Sergiu, Keanu, and Mo who is the store manager offered me a great and lively customer service. I needed a new phone as my old phone was broken. Keanu was fast with the service delivery, and the other guys were ready to offer all the help one may need at the Vodafone shop. Great customer service overall....","['sergiu', ',', 'keanu', ',', 'and', 'mo', 'who', 'is', 'the', 'store', 'manager', 'offered', 'me', 'a', 'great', 'and', 'lively', 'customer', 'service', '.', 'i', 'needed', 'a', 'new', 'phone', 'as', 'my', 'old', 'phone', 'was', 'broken', '.', 'keanu', 'was', 'fast', 'with', 'the', 'service', 'delivery', ',', 'and', 'the', 'other', 'guys', 'were', 'ready', 'to', 'offer', 'all', 'the', 'help', 'one', 'may', 'need', 'at', 'the', 'vodafone', 'shop', '.', 'great', 'customer', 'service', 'overall', '....']","{'neg': 0.045, 'neu': 0.716, 'pos': 0.238, 'compound': 0.9217}"
